sc_gid,mean_cf,mean_lcoe,mean_res,capacity,latitude,longitude,lcot,total_lcoe,lcoe,trans_cap_cost,CAPEX_M,FOM_M,CAPEX_A,FOM_A,CAPEX_C,FOM_C
132876,0.252,19.52289,5.958,430.6826457,35.085999,-118.276001,0.121722,5.333362,5.21164,5323.339475,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
132875,0.252,19.52289,5.958,33.12943428,35.074001,-118.339996,0.123584,5.335224,5.21164,5404.748305,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141559,0.249,19.721787,6.006,5168.191748,34.555,-116.952003,0.130205,5.404636,5.274431,5626.550784,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134655,0.247844,19.820093,5.927609,3809.884943,34.896,-118.487999,0.149024,5.448066,5.299043,6409.822226,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
135800,0.245,20.027081,5.874,2882.260783,34.742001,-118.778999,0.171687,5.53223,5.360543,7299.914432,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141016,0.252,19.462202,6.049999,4406.21476,34.678001,-116.514,0.339239,5.550878,5.21164,14836.09913,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
140433,0.245111,20.045826,5.943334,298.1649086,34.575001,-117.431999,0.207774,5.565889,5.358115,8838.301424,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134052,0.24,20.447325,5.77,66.25886857,34.874001,-118.889999,0.118751,5.590973,5.472222,4946.089044,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
131153,0.252523,19.462526,6.010136,6526.498554,35.342999,-117.671997,0.409945,5.610796,5.200851,17965.51187,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
135235,0.24494,20.03525,5.872381,3312.943428,34.790001,-118.793999,0.286456,5.648313,5.361857,12176.76314,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
129443,0.248428,19.810474,5.96294,17492.3413,35.441002,-117.977997,0.366199,5.652774,5.286575,15788.14999,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
142109,0.24863,19.759907,5.980718,6095.815908,34.495998,-117.001999,0.386443,5.668714,5.282271,16674.52087,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
135239,0.247176,19.86944,5.962922,14875.11599,35.007,-117.566002,0.360396,5.67375,5.313354,15459.64244,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141561,0.249,19.721785,6.006001,1921.507188,34.566002,-116.887001,0.40986,5.684292,5.274432,17711.23458,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
139860,0.246471,19.936535,5.92107,21997.94436,34.667,-117.189003,0.363149,5.691691,5.328542,15533.34052,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134053,0.247649,19.842714,5.915851,4439.344194,34.944,-118.502998,0.390325,5.693523,5.303198,16775.54889,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134054,0.25,19.619989,5.978001,7056.569502,34.990002,-118.245003,0.445532,5.698865,5.253333,19330.02287,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
105646,0.243,20.185347,5.625,265.0354743,37.542,-118.676002,0.306534,5.711198,5.404664,12927.01552,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
132877,0.252021,19.491989,6.003234,6460.239685,35.097,-118.210999,0.512002,5.723217,5.211215,22393.46689,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
