sc_gid,mean_cf,mean_lcoe,mean_res,capacity,latitude,longitude,lcot,total_lcoe,lcoe,trans_cap_cost,CAPEX_M,FOM_M,CAPEX_A,FOM_A,CAPEX_C,FOM_C
152308,0.523506,22.589575,8.142065,1300.299598,33.918999,-116.829002,0.321949,23.540754,23.218804,20279.87856,1051.844273,34.106668,676.539674,24.7923,1264.754544,42.288354
139196,0.513414,22.919893,9.182659,4266.478235,34.790001,-118.793999,0.19711,23.962548,23.765438,12176.76314,1057.659711,34.106668,698.222658,24.7923,1294.918873,42.288354
138624,0.513903,23.035774,9.234062,2932.944142,34.849998,-118.746002,0.691122,24.433914,23.742792,42735.81416,1057.659711,34.106668,698.222658,24.7923,1294.918873,42.288354
138049,0.504,23.3151,9.105999,11.42435749,34.944,-118.502998,0.276624,24.485951,24.209327,16775.54889,1057.659711,34.106668,698.222658,24.7923,1294.918873,42.288354
61547,0.492781,24.108696,9.046322,522.4047109,40.412998,-124.357002,0.194155,24.95463,24.760475,11512.20882,1057.659711,34.106668,698.222658,24.7923,1294.918873,42.288354
138625,0.508729,23.124809,9.235,1621.220186,34.861,-118.681,1.097905,25.082184,23.984279,67205.83725,1057.659711,34.106668,698.222658,24.7923,1294.918873,42.288354
139197,0.475884,24.835842,8.76625,4222.857961,34.801998,-118.730003,0.442806,25.155534,24.712728,25355.38591,1002.265989,34.106668,656.489293,24.7923,1213.388468,42.288354
139762,0.468135,25.197001,8.418441,3385.76413,34.742001,-118.778999,0.129596,25.378523,25.248927,7299.914432,1009.738534,34.106668,659.214646,24.7923,1217.8788,42.288354
139195,0.467058,25.284845,8.306588,1330.418359,34.778,-118.859001,0.276675,26.301701,26.025026,15548.78315,1051.844273,34.106668,676.539674,24.7923,1264.754544,42.288354
136900,0.458215,25.644945,8.370591,2272.408563,35.063,-118.404999,0.562376,26.357903,25.795527,31006.47188,1009.738534,34.106668,659.214646,24.7923,1217.8788,42.288354
62665,0.469327,25.06913,8.784148,742.5832371,40.348999,-124.177002,1.398484,26.45179,25.053306,78974.92193,1001.989686,34.106668,657.336549,24.7923,1218.444362,42.288354
138048,0.465569,25.276449,9.176929,777.8948876,34.931999,-118.568001,0.737073,26.944801,26.207729,41290.46828,1057.659711,34.106668,698.222658,24.7923,1294.918873,42.288354
138626,0.46571,25.272293,9.319386,128.7836663,34.873001,-118.616997,0.769265,26.969068,26.199802,43106.92024,1057.659711,34.106668,698.222658,24.7923,1294.918873,42.288354
138047,0.452899,26.743053,8.736409,1294.068131,34.921001,-118.632004,1.299447,27.266394,25.966947,70813.43739,1002.265989,34.106668,656.489293,24.7923,1213.388468,42.288354
137447,0.49,23.971563,7.984001,38.4273843,34.591999,-120.639999,1.013351,27.334608,26.321257,59746.42004,1145.053807,34.106668,705.619386,24.7923,1355.183644,42.288354
62117,0.454584,26.344721,8.384795,819.4380057,40.395,-124.197998,1.369519,27.37109,26.00157,74909.73698,1009.738534,34.106668,659.214646,24.7923,1217.8788,42.288354
94756,0.474732,24.789047,7.814123,7627.316494,38.137001,-121.763,0.31536,27.483139,27.167779,18014.0128,1145.053807,34.106668,705.619386,24.7923,1355.183644,42.288354
62116,0.472569,25.047171,9.052774,967.9546531,40.381001,-124.266998,1.764203,27.583728,25.819526,100315.7667,1057.659711,34.106668,698.222658,24.7923,1294.918873,42.288354
95340,0.469777,25.026718,7.680025,3487.54477,38.089001,-121.745003,0.286179,27.740541,27.454362,16176.49447,1145.053807,34.106668,705.619386,24.7923,1355.183644,42.288354
