Hour,83_GAS,83_Coal
1,4897.0,0.0
2,4220.543529780638,0.0
3,3587.104700195121,0.0
4,4897.0,0.0
5,4897.0,0.0
6,4897.0,0.0
7,4897.0,0.0
8,4897.0,0.0
9,4897.0,0.0
10,4897.0,0.0
11,4897.0,0.0
12,4897.0,0.0
13,4897.0,0.0
14,4897.0,0.0
15,4897.0,0.0
16,4897.0,0.0
17,4897.0,0.0
18,4897.0,0.0
19,4897.0,0.0
20,4897.0,0.0
21,4897.0,0.0
22,4897.0,0.0
23,4897.0,0.0
24,4654.65712627846,0.0
25,3304.7725667799095,0.0
26,2957.9581973386776,0.0
27,3081.130902586974,0.0
28,3646.125641903797,0.0
29,4745.021683001327,0.0
30,4897.0,0.0
31,4897.0,0.0
32,4897.0,0.0
33,4897.0,0.0
34,4897.0,0.0
35,4897.0,0.0
36,4897.0,0.0
37,4792.331466444539,0.0
38,4897.0,0.0
39,4897.0,0.0
40,4897.0,0.0
41,4897.0,0.0
42,4897.0,0.0
43,4897.0,0.0
44,4897.0,0.0
45,4897.0,0.0
46,4441.80188698963,0.0
47,4897.0,0.0
48,4897.0,0.0
49,4897.0,0.0
50,4897.0,0.0
51,4897.0,0.0
52,4897.0,0.0
53,4897.0,0.0
54,4897.0,0.0
55,4897.0,0.0
56,4897.0,0.0
57,4897.0,0.0
58,4897.0,0.0
59,4897.0,0.0
60,4897.0,0.0
61,4897.0,0.0
62,4897.0,0.0
63,4897.0,0.0
64,4897.0,0.0
65,4897.0,0.0
66,4897.0,0.0
67,4897.0,0.0
68,4897.0,0.0
69,4897.0,0.0
70,4897.0,0.0
71,4897.0,0.0
72,4897.0,0.0
73,4897.0,0.0
74,4897.0,0.0
75,4897.0,0.0
76,4897.0,0.0
77,4897.0,0.0
78,4897.0,0.0
79,4897.0,0.0
80,4853.707935274874,0.0
81,4897.0,0.0
82,4897.0,0.0
83,4897.0,0.0
84,4897.0,0.0
85,4897.0,0.0
86,4897.0,0.0
87,4897.0,0.0
88,4897.0,0.0
89,4897.0,0.0
90,4897.0,0.0
91,4897.0,0.0
92,4897.0,0.0
93,4897.0,0.0
94,4897.0,0.0
95,4897.0,0.0
96,4897.0,0.0
