Plant ID,Technology,Installed Capacity (MW),Max Capacity (MW),Capacity Fraction
132876,Solar PV,0.0,430.68265,0.0
132875,Solar PV,0.0,33.12943,0.0
141559,Solar PV,0.0,5168.19175,0.0
134655,Solar PV,0.0,3809.88494,0.0
135800,Solar PV,0.0,2882.26078,0.0
141016,Solar PV,0.0,4406.21476,0.0
140433,Solar PV,0.0,298.16491,0.0
134052,Solar PV,0.0,66.25887,0.0
131153,Solar PV,0.0,6526.49855,0.0
135235,Solar PV,0.0,3312.94343,0.0
129443,Solar PV,0.0,17492.3413,0.0
142109,Solar PV,0.0,6095.81591,0.0
135239,Solar PV,0.0,14875.11599,0.0
141561,Solar PV,0.0,1921.50719,0.0
139860,Solar PV,0.0,21997.94436,0.0
134053,Solar PV,0.0,4439.34419,0.0
134054,Solar PV,0.0,7056.5695,0.0
105646,Solar PV,0.0,265.03547,0.0
132877,Solar PV,0.0,6460.23968,0.0
141566,Solar PV,0.0,2981.64909,0.0
106203,Solar PV,0.0,331.29434,0.0
132878,Solar PV,0.0,596.32982,0.0
142114,Solar PV,0.0,1656.47171,0.0
142112,Solar PV,0.0,33.12943,0.0
141565,Solar PV,0.0,28557.57235,0.0
127272,Solar PV,0.0,1225.78907,0.0
130582,Solar PV,0.0,4141.17928,0.0
141015,Solar PV,0.0,27033.61838,0.0
138109,Solar PV,0.0,34222.70561,0.0
131149,Solar PV,0.0,3147.29626,0.0
136365,Solar PV,0.0,16001.51676,0.0
135254,Solar PV,0.0,1060.1419,0.0
135804,Solar PV,0.0,14709.46882,0.0
141560,Solar PV,0.0,13417.42088,0.0
132879,Solar PV,0.0,99.3883,0.0
141007,Solar PV,0.0,1258.9185,0.0
122399,Solar PV,0.0,8779.30009,0.0
134661,Solar PV,0.0,2186.54266,0.0
131125,Solar PV,0.0,3346.07286,0.0
132308,Solar PV,0.0,10236.99519,0.0
139855,Solar PV,0.0,1060.1419,0.0
135808,Solar PV,0.0,22859.30966,0.0
140436,Solar PV,0.0,28789.47839,0.0
136936,Solar PV,0.0,430.68265,0.0
141568,Solar PV,0.0,25045.85232,0.0
141004,Solar PV,0.0,3776.75551,0.0
131732,Solar PV,0.0,132.51774,0.0
134651,Solar PV,0.0,132.51774,0.0
145282,Solar PV,0.0,1093.27133,0.0
150913,Solar PV,0.0,9309.37103,0.0
140432,Solar PV,0.0,5565.74496,0.0
126219,Solar PV,0.0,2385.31927,0.0
139278,Solar PV,0.0,30015.26746,0.0
138700,Solar PV,0.0,3147.29626,0.0
103932,Solar PV,0.0,1689.60115,0.0
140435,Solar PV,0.0,132.51774,0.0
134656,Solar PV,0.0,1822.11889,0.0
135814,Solar PV,0.0,18685.00094,0.0
133457,Solar PV,0.0,27530.55989,0.0
156040,Solar PV,0.0,430.68265,0.0
103930,Solar PV,0.0,430.68265,0.0
127271,Solar PV,0.0,10601.41897,0.0
161279,Solar PV,5764.52156,5764.52156,1.0
124580,Solar PV,0.0,5234.45062,0.0
125696,Solar PV,0.0,66.25887,0.0
148845,Solar PV,0.0,22594.27418,0.0
