Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,0.0,0.0
1,CAES,0.0,456.0301039115254,0.0
1,PHS,0.0,-0.0,0.0
1,H2,0.0,0.0,-0.0
2,Li-Ion,0.0,0.0,0.0
2,CAES,679.2199409062298,0.0,540.0247053047136
2,PHS,0.0,0.0,0.0
2,H2,-0.0,0.0,0.0
3,Li-Ion,-0.0,0.0,0.0
3,CAES,1321.6833486917424,0.0,1590.8502448657514
3,PHS,-0.0,0.0,0.0
3,H2,0.0,0.0,0.0
4,Li-Ion,0.0,0.0,-0.0
4,CAES,1886.165127861294,0.0,3090.4760744171
4,PHS,-0.0,0.0,-0.0
4,H2,0.0,0.0,0.0
5,Li-Ion,-0.0,0.0,0.0
5,CAES,2003.0638976084626,0.0,4683.044145326927
5,PHS,-0.0,0.0,0.0
5,H2,0.0,0.0,-0.0
6,Li-Ion,0.0,0.0,0.0
6,CAES,2259.2405445457352,0.0,6479.289567175055
6,PHS,0.0,0.0,0.0
6,H2,-0.0,0.0,0.0
7,Li-Ion,0.0,0.0,0.0
7,CAES,3041.6835764447424,0.0,8897.628868003278
7,PHS,0.0,0.0,0.0
7,H2,0.0,0.0,-0.0
8,Li-Ion,0.0,0.0,0.0
8,CAES,6987.000501079474,0.0,14452.75565289288
8,PHS,0.0,0.0,-0.0
8,H2,-0.0,0.0,0.0
9,Li-Ion,0.0,0.0,0.0
9,CAES,7665.413497080972,0.0,20547.26556860133
9,PHS,-0.0,0.0,-0.0
9,H2,0.0,0.0,0.0
10,Li-Ion,0.0,0.0,-0.0
10,CAES,6360.369996378201,0.0,25604.17972271223
10,PHS,-0.0,0.0,-0.0
10,H2,0.0,0.0,0.0
11,Li-Ion,0.0,-0.0,0.0
11,CAES,6033.801639534852,0.0,30401.4504681934
11,PHS,-0.0,0.0,0.0
11,H2,0.0,0.0,-0.0
12,Li-Ion,0.0,0.0,0.0
12,CAES,6847.008761297254,0.0,35845.27457560254
12,PHS,0.0,0.0,0.0
12,H2,-0.0,0.0,-0.0
13,Li-Ion,0.0,0.0,0.0
13,CAES,7810.109827474854,0.0,42054.827628995336
13,PHS,0.0,0.0,0.0
13,H2,-0.0,0.0,-0.0
14,Li-Ion,0.0,-0.0,0.0
14,CAES,8136.781765822427,0.0,48524.106445153724
14,PHS,0.0,0.0,0.0
14,H2,-0.0,0.0,0.0
15,Li-Ion,0.0,0.0,0.0
15,CAES,7033.301290972521,0.0,54116.04541548065
15,PHS,0.0,0.0,-0.0
15,H2,0.0,0.0,0.0
16,Li-Ion,0.0,0.0,-0.0
16,CAES,5154.535785247514,0.0,58214.24174448857
16,PHS,-0.0,0.0,-0.0
16,H2,0.0,0.0,-0.0
17,Li-Ion,0.0,-0.0,-0.0
17,CAES,3744.058348361586,0.0,61191.015370304056
17,PHS,-0.0,0.0,-0.0
17,H2,-0.0,0.0,-0.0
18,Li-Ion,0.0,0.0,0.0
18,CAES,2644.648352575068,0.0,63293.68544993753
18,PHS,-0.0,0.0,0.0
18,H2,-0.0,0.0,0.0
19,Li-Ion,0.0,0.0,0.0
19,CAES,4072.1451995705615,0.0,66531.30978767718
19,PHS,0.0,0.0,0.0
19,H2,0.0,0.0,-0.0
20,Li-Ion,0.0,0.0,0.0
20,CAES,7209.103606588294,0.0,72263.02320802338
20,PHS,0.0,0.0,0.0
20,H2,-0.0,0.0,-0.0
21,Li-Ion,0.0,0.0,-0.0
21,CAES,8806.690090026294,0.0,79264.92337931556
21,PHS,0.0,0.0,-0.0
21,H2,-0.0,0.0,0.0
22,Li-Ion,0.0,0.0,-0.0
22,CAES,9706.548184239093,0.0,86982.27015763015
22,PHS,-0.0,0.0,-0.0
22,H2,0.0,0.0,0.0
23,Li-Ion,0.0,0.0,0.0
23,CAES,11109.865705364102,0.0,95815.34703330227
23,PHS,-0.0,0.0,-0.0
23,H2,0.0,0.0,0.0
24,Li-Ion,647.2884619571159,0.0,600.2706252726477
24,CAES,12231.940867788986,0.0,105540.54775932801
24,PHS,-0.0,0.0,0.0
24,H2,0.0,0.0,-0.0
25,Li-Ion,1291.2524736805826,0.0,1797.7289075005308
25,CAES,12231.940867788986,0.0,115265.74848535375
25,PHS,0.0,0.0,0.0
25,H2,-0.0,0.0,-0.0
26,Li-Ion,1291.2524736805826,0.0,2995.1871897284136
26,CAES,12231.940867788986,0.0,124990.94921137951
26,PHS,0.0,0.0,0.0
26,H2,-0.0,0.0,-0.0
27,Li-Ion,135.0837599738749,0.0,3120.4587152218965
27,CAES,12231.940867788986,0.0,134716.14993740525
