Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,1,0.0,0.0,21890.316556331658,0.0,4897.0,2350.85995,2272.82328,1789.27366,0,-4498.350901668344,0,37698.624348,9395.350901668338
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,2,0.0,0.0,22455.871993660643,0.0,4897.0,2359.65165,2273.72072,1778.90751,0,-2646.528018339352,0,36411.67989199999,7543.528018339352
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,3,0.0,0.0,23180.530522619243,0.0,4897.0,2063.74177,2274.35167,1775.3033,0,-1218.8382053807502,0,35409.765468,6115.8382053807545
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,4,0.0,0.0,24171.596611970293,0.0,4897.0,1929.00365,2274.18453,1772.69607,0,190.39994997029297,0,34854.080912,4706.600050029703
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,5,0.0,0.0,24559.94840143382,0.0,4897.0,1978.7031,2273.92119,1776.05623,0,579.0162294338224,0,34906.612691999995,4317.983770566176
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,6,0.0,0.0,25570.62244226202,0.0,4897.0,2274.47982,2274.6642,1774.67763,0,1093.2274262620208,0,35698.216666,3803.7725737379783
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,7,1794.4945218298103,0.0,26983.080943571877,0.0,4897.0,2541.02594,2274.96771,1777.01514,0,3273.4046834016863,0,36994.179572,1623.595316598315
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,8,7786.381468164796,0.0,29982.542128632846,0.0,4897.0,2377.80212,2274.36005,1772.26723,0,12121.223792797642,0,36969.129204,-7224.223792797644
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,9,9609.160755584839,0.0,29324.41222406848,0.0,4897.0,1850.3501,2273.97646,1765.77912,0,13793.125207653316,0,35927.553452,-8896.12520765332
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,10,9317.334149537324,0.0,26112.80006987234,0.0,4897.0,1856.33584,2273.79651,1728.63502,0,11313.440735409671,0,34872.460854,-6416.4407354096675
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,11,8735.809448962094,0.0,24968.564001800456,0.0,4897.0,1690.7218,2273.82441,1729.4593,0,10455.301150762552,0,33840.077809999995,-5558.301150762553
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,12,8642.382433712506,0.0,25216.63386656699,0.0,4897.0,1591.59286,2273.3104,1717.51558,0,11525.897718279492,0,32812.537422,-6628.897718279492
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,13,9086.811802937362,0.0,25633.544348012674,0.0,4897.0,1502.94835,2273.2278,1725.88248,0,13040.20766295004,0,32079.207117999995,-8143.207662950042
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,14,9494.74506489514,0.0,25687.35886627939,0.0,4897.0,1568.58219,2272.73277,1728.15225,0,13451.879649174534,0,32196.691491999998,-8554.879649174536
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,15,8214.610213675687,0.0,26000.29101158488,0.0,4897.0,1691.31252,2273.15628,1732.26885,0,11532.178511260568,0,33276.460364,-6635.1785112605685
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,16,2842.4476981703347,0.0,28585.570334546555,0.0,4897.0,2100.98322,2272.64222,1788.5111,0,7176.25675471689,0,35310.897818,-2279.256754716892
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,17,0.0,0.0,31941.924056229727,0.0,4897.0,2797.40289,2272.26654,1865.41948,0,4391.058698229727,0,39382.954267999994,505.94130177026636
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,18,0.0,0.0,35944.05371894344,0.0,4897.0,3241.56259,2272.95466,1964.17257,0,3256.9559229434453,0,45062.787616,1640.0440770565624
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,19,0.0,0.0,39372.66204434023,0.0,4897.0,3443.81907,2273.316,1970.43835,0,5719.297102340219,0,46237.938362,-822.297102340227
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,20,0.0,0.0,44406.00576103167,0.0,4897.0,3278.70458,2272.44109,1967.35514,0,10892.967999031674,0,45928.538572,-5995.9679990316745
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,21,0.0,0.0,48208.127219607864,0.0,4897.0,2893.49016,2272.43881,1887.29345,0,14923.591273607868,0,45234.758365999995,-10026.59127360787
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,22,0.0,0.0,48458.75951136447,0.0,4897.0,2554.17395,2272.75623,1847.9486,0,16432.853501364472,0,43597.78479,-11535.853501364474
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,23,0.0,0.0,48271.410476477075,0.0,4897.0,2272.69783,2273.49363,1801.85677,0,18576.417900477067,0,40940.040806,-13679.417900477078
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,24,0.0,0.0,48571.477977034534,0.0,4897.0,2125.45029,2274.43377,1781.79636,0,21357.161193034535,0,38292.997204,-16460.161193034535
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,25,0.0,0.0,48420.79072340745,0.0,4897.0,1976.73049,2272.10748,1779.85401,0,22764.60110140744,0,36581.881602,-17867.601101407454
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,26,0.0,0.0,47752.326931434305,0.0,4897.0,1916.08734,2271.68539,1775.86374,0,23235.062955434303,0,35377.900446,-18338.062955434303
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,27,0.0,0.0,47475.58924227551,0.0,4897.0,1767.92297,2272.17995,1779.45385,0,23381.56363227551,0,34810.58238,-18484.563632275513
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,28,0.0,0.0,46713.93614932646,0.0,4897.0,1813.7194,2271.74,1778.60586,0,22472.40305132645,0,35002.598357999996,-17575.403051326462
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,29,0.0,0.0,47035.69199248454,0.0,4897.0,1853.20168,2271.91046,1777.53263,0,21519.036938484554,0,36316.299823999994,-16622.036938484547
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,30,0.0,0.0,47398.023891817844,0.0,4897.0,2374.9343,2271.79811,1813.03012,0,19689.995663817863,0,39064.790757999996,-14792.995663817848
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,31,1846.5286950084267,0.0,47761.64887214565,0.0,4897.0,3071.83127,2271.83689,1823.61862,0,18957.40045915408,0,42715.063888,-14060.400459154078
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,32,7915.814275029462,0.0,47772.570298099155,0.0,3306.792575133727,3060.75883,2271.82665,1817.28301,0,21653.93778826235,0,44491.10785,-18347.145213128617
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,33,9697.822439160343,0.0,46727.75214223945,0.0,2731.6922848625545,2379.734,2272.13217,1807.16665,0,21653.93778826235,0,43962.361897999996,-18922.245503399798
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,34,9274.271631536601,0.0,45848.538366560446,0.0,4897.0,1821.02956,2273.33141,1764.80068,0,23703.69232009705,0,42175.279328,-18806.692320097052
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,35,8691.24756501628,0.0,44071.01126266645,0.0,4897.0,1608.68114,2272.58316,1764.80052,0,22751.43070168273,0,40553.892946,-17854.43070168273
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,36,8573.509809671152,0.0,45273.01195025945,0.0,1403.2654903317452,1569.38605,2271.64759,1743.28636,0,21653.93778826235,0,39180.169462,-20250.672297930607
GenMix_Target=0.8_P_Capexx1.0_load_datax1.4,37,8994.182422830545,0.0,44655.19492086235,0.0,3223.4369975062764,1517.2403,2271.13844,1717.17108,0,24059.671259199175,0,38318.692901999995,-20836.234261692898
