Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
training_single_740,1,0.0,0.0,21496.394478916485,0.0,0.0,2350.85995,2272.82328,1789.27366,0,981.762548916482,0,26927.58882,-981.7625489164845
training_single_740,2,0.0,0.0,21201.558005641826,0.0,0.0,2359.65165,2273.72072,1778.90751,0,1605.4951056418286,0,26008.34278,-1605.4951056418263
training_single_740,3,0.0,0.0,21244.79378288001,0.0,0.0,2063.74177,2274.35167,1775.3033,0,2065.5009028800087,0,25292.68962,-2065.5009028800087
training_single_740,4,0.0,0.0,21608.219090056176,0.0,0.0,1929.00365,2274.18453,1772.69607,0,2688.3312600561767,0,24895.77208,-2688.3312600561776
training_single_740,5,0.0,0.0,21684.70968067985,0.0,0.0,1978.7031,2273.92119,1776.05623,0,2780.0954206798488,0,24933.29478,-2780.0954206798506
training_single_740,6,0.0,0.0,22243.63924644085,0.0,0.0,2274.47982,2274.6642,1774.67763,0,3068.734706440846,0,25498.72619,-3068.7347064408477
training_single_740,7,967.7738471551204,0.0,23223.424443496984,0.0,0.0,2541.02594,2274.96771,1777.01514,0,4359.793100652103,0,26424.41398,-4359.793100652103
training_single_740,8,5088.555644669846,0.0,25472.15983784614,0.0,0.0,2377.80212,2274.36005,1772.26723,0,10578.624022515985,0,26406.52086,-10578.624022515984
training_single_740,9,6662.996653571332,0.0,24525.165205614754,0.0,0.0,1850.3501,2273.97646,1765.77912,0,11415.729359186087,0,25662.53818,-11415.729359186087
training_single_740,10,6380.231900885747,0.0,21491.527148230212,0.0,0.0,1856.33584,2273.79651,1728.63502,0,8821.625809115956,0,24908.90061,-8821.625809115958
training_single_740,11,5900.321946426577,0.0,21347.641877710063,0.0,0.0,1690.7218,2273.82441,1729.4593,0,8770.485184136638,0,24171.48415,-8770.48518413664
training_single_740,12,5811.324151218503,0.0,22342.064298161175,0.0,0.0,1591.59286,2273.3104,1717.51558,0,10298.280559379677,0,23437.52673,-10298.280559379677
training_single_740,13,6187.193950629722,0.0,23144.24465415327,0.0,0.0,1502.94835,2273.2278,1725.88248,0,11919.777864782995,0,22913.71937,-11919.777864782993
training_single_740,14,6567.8348675804045,0.0,23676.906875387467,0.0,0.0,1568.58219,2272.73277,1728.15225,0,12816.57217296787,0,22997.63678,-12816.572172967872
training_single_740,15,5566.940526895114,0.0,23054.460581365754,0.0,0.0,1691.31252,2273.15628,1732.26885,0,10549.23849826087,0,23768.90026,-10549.238498260871
training_single_740,16,1657.470236925461,0.0,24915.93610726687,0.0,0.0,2100.98322,2272.64222,1788.5111,0,7513.473014192332,0,25222.06987,-7513.473014192331
training_single_740,17,0.0,0.0,27949.933129110043,0.0,0.0,2797.40289,2272.26654,1865.41948,0,6754.340419110045,0,28130.68162,-6754.3404191100435
training_single_740,18,0.0,0.0,30540.075571557525,0.0,0.0,3241.56259,2272.95466,1964.17257,0,5831.059951557522,0,32187.70544,-5831.059951557523
training_single_740,19,0.0,0.0,33029.69463277347,0.0,0.0,3443.81907,2273.316,1970.43835,0,7690.169222773467,0,33027.09883,-7690.169222773467
training_single_740,20,0.0,0.0,36747.56783070829,0.0,0.0,3278.70458,2272.44109,1967.35514,0,11459.969660708288,0,32806.09898,-11459.96966070829
training_single_740,21,0.0,0.0,38275.30009530922,0.0,0.0,2893.49016,2272.43881,1887.29345,0,13017.980825309221,0,32310.54169,-13017.980825309221
training_single_740,22,0.0,0.0,37484.37689530922,678.8812931402426,0.0,2554.17395,2272.75623,1847.9486,0,13017.980825309221,0,31141.27485,-13696.862118449462
