Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,0.0,0.0
1,CAES,981.762548916482,0.0,3248.086811639903
1,PHS,0.0,0.0,0.0
1,H2,0.0,0.0,1052074.8487038412
2,Li-Ion,0.0,0.0,0.0
2,CAES,1605.4951056418286,0.0,4524.561439483734
2,PHS,0.0,0.0,0.0
2,H2,0.0,0.0,1052074.8487038412
3,Li-Ion,0.0,-0.0,0.0
3,CAES,2065.5009028800087,0.0,6166.771052611666
3,PHS,0.0,0.0,-0.0
3,H2,0.0,0.0,1052074.8487038412
4,Li-Ion,0.0,0.0,0.0
4,CAES,2688.3312600561767,0.0,8304.171928293128
4,PHS,-0.0,0.0,-0.0
4,H2,0.0,0.0,1052074.8487038412
5,Li-Ion,0.0,-0.0,0.0
5,CAES,2780.0954206798488,0.0,10514.531371316143
5,PHS,-0.0,0.0,0.0
5,H2,0.0,0.0,1052074.8487038412
6,Li-Ion,0.0,0.0,0.0
6,CAES,3068.734706440846,0.0,12954.378106812459
6,PHS,0.0,0.0,0.0
6,H2,0.0,0.0,1052074.8487038412
7,Li-Ion,0.0,0.0,0.0
7,CAES,4359.793100652103,0.0,16420.70152073916
7,PHS,0.0,0.0,0.0
7,H2,0.0,0.0,1052074.8487038412
8,Li-Ion,0.0,0.0,0.0
8,CAES,5942.714760933067,0.0,21145.55218281049
8,PHS,0.0,0.0,0.0
8,H2,4635.9092615829195,0.0,1055149.963020402
9,Li-Ion,0.0,0.0,0.0
9,CAES,5942.714760933067,0.0,25870.40284488182
9,PHS,0.0,0.0,0.0
9,H2,5473.01459825302,0.0,1058780.3501993106
10,Li-Ion,0.0,0.0,-0.0
10,CAES,5942.714760933067,0.0,30595.25350695315
10,PHS,0.0,0.0,-0.0
10,H2,2878.9110481828893,0.0,1060690.003749637
11,Li-Ion,-0.0,0.0,-0.0
11,CAES,5942.714760933067,0.0,35320.10416902448
11,PHS,-0.0,0.0,0.0
11,H2,2827.770423203571,0.0,1062565.7344470432
12,Li-Ion,-0.0,0.0,0.0
12,CAES,5942.714760933067,0.0,40044.95483109581
12,PHS,0.0,0.0,0.0
12,H2,4355.56579844661,0.0,1065454.8899476735
13,Li-Ion,0.0,0.0,-0.0
13,CAES,5942.714760933067,0.0,44769.80549316714
13,PHS,0.0,0.0,0.0
13,H2,5977.063103849928,0.0,1069419.625080423
14,Li-Ion,0.0,0.0,0.0
14,CAES,5942.714760933067,0.0,49494.656155238474
14,PHS,0.0,0.0,0.0
14,H2,6873.857412034803,0.0,1073979.2262600476
15,Li-Ion,0.0,0.0,0.0
15,CAES,5942.714760933067,0.0,54219.506817309804
15,PHS,0.0,0.0,0.0
15,H2,4606.523737327802,0.0,1077034.8484249641
16,Li-Ion,0.0,0.0,0.0
16,CAES,5942.714760933067,0.0,58944.357479381135
16,PHS,0.0,0.0,-0.0
16,H2,1570.758253259265,0.0,1078076.7715774472
17,Li-Ion,0.0,0.0,-0.0
17,CAES,5942.714760933067,0.0,63669.208141452465
17,PHS,-0.0,0.0,-0.0
17,H2,811.6256581769785,0.0,1078615.143133127
18,Li-Ion,0.0,-0.0,0.0
18,CAES,5831.059951557522,0.0,68305.28585694564
18,PHS,-0.0,0.0,0.0
18,H2,0.0,0.0,1078615.143133127
19,Li-Ion,0.0,0.0,0.0
19,CAES,5942.714760933067,0.0,73030.13651901697
19,PHS,0.0,0.0,0.0
19,H2,1747.4544618403997,0.0,1079774.2732907583
20,Li-Ion,0.0,0.0,0.0
20,CAES,5942.714760933067,0.0,77754.9871810883
20,PHS,0.0,0.0,0.0
20,H2,5517.254899775221,0.0,1083434.006165819
21,Li-Ion,0.0,0.0,0.0
21,CAES,5942.714760933067,0.0,82479.83784315964
21,PHS,0.0,0.0,0.0
21,H2,7075.266064376155,0.0,1088127.2067313131
22,Li-Ion,0.0,0.0,0.0
22,CAES,5942.714760933067,0.0,87204.68850523097
22,PHS,0.0,0.0,-0.0
22,H2,7075.266064376155,0.0,1092820.4072968073
23,Li-Ion,0.0,0.0,0.0
23,CAES,5942.714760933067,0.0,91929.5391673023
23,PHS,-0.0,0.0,-0.0
23,H2,7075.266064376155,0.0,1097513.6078623014
24,Li-Ion,-0.0,0.0,-0.0
24,CAES,5942.714760933067,0.0,96654.38982937363
24,PHS,-0.0,0.0,0.0
24,H2,7075.266064376155,0.0,1102206.8084277955
25,Li-Ion,-0.0,0.0,0.0
25,CAES,5942.714760933067,0.0,101379.24049144496
25,PHS,0.0,0.0,0.0
25,H2,7075.266064376155,0.0,1106900.0089932897
26,Li-Ion,0.0,0.0,0.0
26,CAES,5942.714760933067,0.0,106104.09115351629
26,PHS,0.0,0.0,0.0
26,H2,7075.266064376155,0.0,1111593.2095587838
27,Li-Ion,0.0,0.0,0.0
27,CAES,5942.714760933067,0.0,110828.94181558762
27,PHS,0.0,0.0,0.0
27,H2,7075.266064376155,0.0,1116286.410124278
28,Li-Ion,0.0,0.0,-0.0
28,CAES,5942.714760933067,0.0,115553.79247765895
28,PHS,0.0,0.0,0.0
28,H2,7075.266064376155,0.0,1120979.610689772
29,Li-Ion,-0.0,0.0,-0.0
29,CAES,5942.714760933067,0.0,120278.64313973028
29,PHS,0.0,0.0,-0.0
29,H2,7075.266064376155,0.0,1125672.8112552662
30,Li-Ion,-0.0,0.0,-0.0
30,CAES,5942.714760933067,0.0,125003.49380180161
30,PHS,-0.0,0.0,0.0
30,H2,7075.266064376155,0.0,1130366.0118207603
31,Li-Ion,-0.0,0.0,-0.0
31,CAES,5942.714760933067,0.0,129728.34446387294
31,PHS,0.0,0.0,0.0
31,H2,6708.835871954066,0.0,1134816.15009423
32,Li-Ion,1103.7793340254373,0.0,1023.6028446964225
32,CAES,5942.714760933067,0.0,134453.19512594427
32,PHS,0.0,0.0,0.0
32,H2,7075.266064376155,0.0,1139509.350659724
33,Li-Ion,1103.7793340254373,0.0,2047.205689392845
33,CAES,5942.714760933067,0.0,139178.04578801562
33,PHS,0.0,0.0,0.0
33,H2,7075.266064376155,0.0,1144202.5512252182
34,Li-Ion,0.0,0.0,2047.205689392845
34,CAES,5942.714760933067,0.0,143902.89645008696
34,PHS,0.0,0.0,0.0
34,H2,6933.814822988935,0.0,1148801.92365195
35,Li-Ion,0.0,0.0,2047.205689392845
35,CAES,5942.714760933067,0.0,148627.7471121583
35,PHS,0.0,0.0,-0.0
35,H2,5815.498240746564,0.0,1152659.4887786557
36,Li-Ion,0.0,0.0,2047.205689392845
36,CAES,5942.714760933067,0.0,153352.59777422965
36,PHS,-0.0,0.0,-0.0
36,H2,6696.001217233182,0.0,1157101.1135053209
37,Li-Ion,710.7824617773861,0.0,2706.3582277741184
37,CAES,5942.714760933067,0.0,158077.448436301
37,PHS,-0.0,0.0,0.0
37,H2,6202.189592702944,0.0,1161215.1806568494
38,Li-Ion,0.0,0.0,2706.3582277741184
38,CAES,5942.714760933067,0.0,162802.29909837234
38,PHS,0.0,0.0,0.0
38,H2,6247.949214671759,0.0,1165359.6013077018
39,Li-Ion,0.0,0.0,2706.3582277741184
39,CAES,5942.714760933067,0.0,167527.1497604437
39,PHS,0.0,0.0,0.0
39,H2,3199.223556102176,0.0,1167481.7261389133
40,Li-Ion,0.0,0.0,2706.3582277741184
40,CAES,4631.482201670313,0.0,171209.48395066784
40,PHS,0.0,0.0,0.0
40,H2,0.0,0.0,1167481.7261389133
41,Li-Ion,0.0,-0.0,2706.3582277741184
41,CAES,1720.4695907830067,0.0,172577.37088653827
41,PHS,0.0,0.0,0.0
41,H2,0.0,0.0,1167481.7261389133
42,Li-Ion,0.0,0.0,2706.3582277741184
42,CAES,0.0,0.0,172577.37088653827
42,PHS,0.0,-0.0,0.0
42,H2,0.0,2114.266669269616,1164294.3492076762
43,Li-Ion,0.0,0.0,2706.3582277741184
43,CAES,0.0,0.0,172577.37088653827
43,PHS,0.0,-0.0,0.0
43,H2,0.0,3784.3774202544146,1158589.185585823
44,Li-Ion,0.0,0.0,2706.3582277741184
44,CAES,0.0,2953.2804972681347,168862.86118887152
44,PHS,0.0,0.0,-0.0
44,H2,0.0,0.0,1158589.185585823
45,Li-Ion,0.0,0.0,2706.3582277741184
45,CAES,0.0,0.0,168862.86118887152
45,PHS,0.0,0.0,0.0
45,H2,0.0,3615.7398404102014,1153138.2526811955
46,Li-Ion,0.0,0.0,2706.3582277741184
46,CAES,0.0,3531.9489023577794,164420.52716011697
46,PHS,0.0,0.0,0.0
46,H2,0.0,0.0,1153138.2526811955
47,Li-Ion,0.0,0.0,2706.3582277741184
47,CAES,0.0,2904.8855739367355,160766.8865238884
47,PHS,0.0,0.0,0.0
47,H2,0.0,0.0,1153138.2526811955
48,Li-Ion,0.0,0.0,2706.3582277741184
48,CAES,0.0,1557.838041577029,158807.5045694195
48,PHS,0.0,0.0,-0.0
48,H2,0.0,0.0,1153138.2526811955
49,Li-Ion,0.0,235.83365269497483,2452.0522599261617
49,CAES,0.0,0.0,158807.5045694195
49,PHS,0.0,0.0,0.0
49,H2,0.0,774.9434119800106,1151969.9815306067
50,Li-Ion,0.0,0.0,2452.0522599261617
50,CAES,0.0,437.6595236435945,158257.03516891587
50,PHS,0.0,0.0,0.0
50,H2,0.0,0.0,1151969.9815306067
51,Li-Ion,274.2251775522963,0.0,2706.3582277741184
51,CAES,0.0,0.0,158257.03516891587
51,PHS,0.0,0.0,0.0
51,H2,0.0,0.0,1151969.9815306067
52,Li-Ion,0.0,0.0,2706.3582277741184
52,CAES,0.0,100.49934296309928,158130.6314004994
52,PHS,0.0,0.0,0.0
52,H2,0.0,0.0,1151969.9815306067
53,Li-Ion,0.0,0.0,2706.3582277741184
53,CAES,0.0,0.0,158130.6314004994
53,PHS,0.0,0.0,0.0
53,H2,0.0,1476.8479902271058,1149743.549414255
54,Li-Ion,0.0,0.0,2706.3582277741184
54,CAES,0.0,0.0,158130.6314004994
54,PHS,0.0,0.0,-0.0
54,H2,0.0,2869.4848609645533,1145417.6382208802
55,Li-Ion,0.0,0.0,2706.3582277741184
55,CAES,0.0,5219.333011980907,151565.97792234554
55,PHS,0.0,0.0,-0.0
55,H2,0.0,0.0,1145417.6382208802
56,Li-Ion,0.0,0.0,2706.3582277741184
56,CAES,0.0,0.0,151565.97792234554
56,PHS,0.0,-0.0,0.0
56,H2,0.0,2243.3790645632794,1142035.6170301097
57,Li-Ion,0.0,0.0,2706.3582277741184
57,CAES,0.0,1487.2471458379496,149695.3821725844
57,PHS,0.0,0.0,0.0
57,H2,0.0,0.0,1142035.6170301097
58,Li-Ion,0.0,0.0,2706.3582277741184
58,CAES,0.0,3878.045706083103,144817.7424101014
58,PHS,0.0,0.0,0.0
58,H2,0.0,0.0,1142035.6170301097
59,Li-Ion,0.0,0.0,2706.3582277741184
59,CAES,0.0,4810.670753319388,138767.0868147334
59,PHS,0.0,0.0,0.0
59,H2,0.0,0.0,1142035.61703011
60,Li-Ion,0.0,0.0,2706.3582277741184
60,CAES,0.0,0.0,138767.0868147334
60,PHS,0.0,0.0,0.0
60,H2,0.0,4960.192828732224,1134557.8449843298
61,Li-Ion,0.0,0.0,2706.3582277741184
61,CAES,0.0,0.0,138767.0868147334
61,PHS,0.0,-0.0,-0.0
61,H2,0.0,5380.94345572288,1126445.76750217
62,Li-Ion,0.0,0.0,2706.3582277741184
62,CAES,0.0,0.0,138767.0868147334
62,PHS,0.0,-0.0,0.0
62,H2,0.0,7552.036461475678,1115060.6441631708
63,Li-Ion,0.0,0.0,2706.3582277741184
63,CAES,0.0,0.0,138767.0868147334
63,PHS,0.0,-0.0,0.0
63,H2,0.0,10165.761594591768,1099735.181927959
64,Li-Ion,0.0,0.0,2706.3582277741184
64,CAES,0.0,9385.82097746252,126962.00325643327
64,PHS,0.0,-0.0,0.0
64,H2,0.0,1442.0027882294326,1097561.2809301394
65,Li-Ion,0.0,0.0,2706.3582277741184
65,CAES,0.0,9385.82097746252,115156.91969813313
65,PHS,0.0,-0.0,0.0
65,H2,0.0,1188.1602669369968,1095770.0619318492
66,Li-Ion,0.0,0.0,2706.3582277741184
66,CAES,0.0,9385.82097746252,103351.83613983302
66,PHS,0.0,0.0,0.0
66,H2,0.0,2433.8899616293493,1092100.8347574233
67,Li-Ion,0.0,0.0,2706.3582277741184
67,CAES,0.0,1098.403805695145,101970.31088614214
67,PHS,0.0,-0.0,-0.0
67,H2,0.0,12217.98201257456,1073681.5338342318
68,Li-Ion,0.0,-0.0,2706.3582277741184
68,CAES,0.0,739.4579522836066,101040.25235045105
68,PHS,0.0,-0.0,0.0
68,H2,0.0,12217.98201257456,1055262.2329110403
69,Li-Ion,0.0,1103.7793340254373,1516.1223618480456
69,CAES,0.0,135.1368538640745,100870.28300461525
69,PHS,0.0,-0.0,0.0
69,H2,0.0,12217.98201257456,1036842.931987849
70,Li-Ion,0.0,0.0,1516.1223618480456
70,CAES,0.0,1186.6833079238932,99377.72357471348
70,PHS,0.0,0.0,0.0
70,H2,0.0,12217.98201257456,1018423.6310646575
71,Li-Ion,0.0,0.0,1516.1223618480456
71,CAES,0.0,0.0,99377.72357471348
71,PHS,0.0,0.0,0.0
