Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,0.0,-0.0
1,CAES,0.0,0.0,-0.0
1,PHS,0.0,3063.02040588034,83638.86075794203
1,H2,915.6435282164246,0.0,33405.30627292184
2,Li-Ion,0.0,0.0,-0.0
2,CAES,0.0,0.0,-0.0
2,PHS,0.0,2522.474204120096,80786.3758380926
2,H2,915.6435282164246,0.0,34012.67547788406
3,Li-Ion,0.0,0.0,-0.0
3,CAES,0.0,0.0,-0.0
3,PHS,0.0,2001.4780795343697,78523.04801893953
3,H2,915.6435282164246,0.0,34620.04468284628
4,Li-Ion,-0.0,0.0,-0.0
4,CAES,0.0,0.0,-0.0
4,PHS,0.0,1677.6506012022255,76625.9134385782
4,H2,915.6435282164246,0.0,35227.4138878085
5,Li-Ion,-0.0,0.0,-0.0
5,CAES,0.0,0.0,-0.0
5,PHS,0.0,1847.5812577236452,74536.61648273816
5,H2,915.6435282164246,0.0,35834.78309277072
6,Li-Ion,-0.0,0.0,-0.0
6,CAES,0.0,0.0,-0.0
6,PHS,0.0,2255.488924096823,71986.04604187299
6,H2,915.6435282164246,0.0,36442.15229773294
7,Li-Ion,-0.0,0.0,-0.0
7,CAES,0.0,0.0,-0.0
7,PHS,2331.271085077239,0.0,74047.6068704676
7,H2,915.6435282164246,0.0,37049.521502695156
8,Li-Ion,-0.0,0.0,-0.0
8,CAES,0.0,0.0,-0.0
8,PHS,27881.3668997119,0.0,98703.31259943722
8,H2,915.6435282164246,0.0,37656.890707657374
9,Li-Ion,-0.0,0.0,0.0
9,CAES,-0.0,0.0,-0.0
9,PHS,28866.43188349679,0.0,124230.11881825994
9,H2,915.6435282164246,0.0,38264.25991261959
10,Li-Ion,-0.0,0.0,-0.0
10,CAES,-0.0,0.0,-0.0
10,PHS,28866.43188349679,0.0,149756.92503708266
10,H2,915.6435282164246,0.0,38871.62911758181
11,Li-Ion,-0.0,0.0,-0.0
11,CAES,-0.0,0.0,-0.0
11,PHS,28866.43188349679,0.0,175283.73125590538
11,H2,915.6435282164246,0.0,39478.99832254403
12,Li-Ion,-0.0,0.0,-0.0
12,CAES,-0.0,0.0,-0.0
12,PHS,28866.43188349679,0.0,200810.5374747281
12,H2,915.6435282164246,0.0,40086.36752750625
13,Li-Ion,-0.0,0.0,-0.0
13,CAES,-0.0,0.0,-0.0
13,PHS,28866.43188349679,0.0,226337.34369355082
13,H2,915.6435282164246,0.0,40693.73673246847
14,Li-Ion,-0.0,0.0,-0.0
14,CAES,-0.0,0.0,-0.0
14,PHS,28866.43188349679,0.0,251864.14991237354
14,H2,915.6435282164246,0.0,41301.105937430686
15,Li-Ion,-0.0,0.0,-0.0
15,CAES,-0.0,0.0,-0.0
15,PHS,28866.43188349679,0.0,277390.95613119623
15,H2,915.6435282164246,0.0,41908.475142392905
16,Li-Ion,-0.0,0.0,-0.0
16,CAES,0.0,0.0,-0.0
16,PHS,10721.624153357454,0.0,286872.17027011013
16,H2,915.6435282164246,0.0,42515.84434735512
17,Li-Ion,0.0,-0.0,-0.0
17,CAES,0.0,0.0,-0.0
17,PHS,0.0,3250.6546619091687,283196.238366589
17,H2,915.6435282164246,0.0,43123.21355231734
18,Li-Ion,0.0,0.0,-0.0
18,CAES,0.0,0.0,-0.0
18,PHS,0.0,6663.365346248422,275661.117042226
18,H2,915.6435282164246,0.0,43730.58275727956
19,Li-Ion,0.0,0.0,-0.0
19,CAES,0.0,0.0,-0.0
19,PHS,0.0,7198.766277311546,267520.5492560374
19,H2,915.6435282164246,0.0,44337.95196224178
20,Li-Ion,0.0,0.0,-0.0
20,CAES,0.0,0.0,-0.0
20,PHS,0.0,7156.947605372042,259427.27120263604
20,H2,915.6435282164246,0.0,44945.321167204
21,Li-Ion,0.0,0.0,-0.0
21,CAES,0.0,0.0,-0.0
21,PHS,0.0,6994.969291797415,251517.1627911916
21,H2,915.6435282164246,0.0,45552.69037216622
22,Li-Ion,0.0,0.0,-0.0
22,CAES,0.0,0.0,-0.0
22,PHS,0.0,6463.101544696314,244208.50541757428
22,H2,915.6435282164246,0.0,46160.059577128435
23,Li-Ion,0.0,0.0,-0.0
23,CAES,0.0,0.0,-0.0
23,PHS,0.0,5295.668983547718,238220.01368536506
23,H2,915.6435282164246,0.0,46767.428782090654
24,Li-Ion,0.0,0.0,-0.0
24,CAES,0.0,0.0,-0.0
24,PHS,0.0,3746.534577445168,233983.32679818055
24,H2,915.6435282164246,0.0,47374.79798705287
25,Li-Ion,0.0,0.0,-0.0
25,CAES,0.0,0.0,-0.0
25,PHS,0.0,3227.9145555982914,230333.1100477506
25,H2,915.6435282164246,0.0,47982.16719201509
26,Li-Ion,0.0,0.0,-0.0
26,CAES,0.0,0.0,-0.0
26,PHS,0.0,3089.830731418042,226839.04237726209
26,H2,915.6435282164246,0.0,48589.53639697731
27,Li-Ion,-0.0,0.0,0.0
27,CAES,0.0,0.0,-0.0
27,PHS,0.0,3182.105578356659,223240.62770931213
27,H2,915.6435282164246,0.0,49196.90560193953
28,Li-Ion,0.0,-0.0,-0.0
28,CAES,0.0,0.0,-0.0
28,PHS,0.0,3379.3857115740084,219419.12310685692
28,H2,915.6435282164246,0.0,49804.27480690175
29,Li-Ion,0.0,-0.0,0.0
29,CAES,0.0,0.0,-0.0
29,PHS,0.0,4528.780647532063,214297.8503179059
29,H2,915.6435282164246,0.0,50411.644011863966
30,Li-Ion,0.0,-0.0,-0.0
30,CAES,0.0,0.0,-0.0
30,PHS,0.0,6163.172989183506,207328.3606076229
30,H2,915.6435282164246,0.0,51019.013216826184
31,Li-Ion,0.0,-0.0,-0.0
31,CAES,0.0,0.0,-0.0
31,PHS,0.0,3001.252170773684,203934.46006988335
31,H2,915.6435282164246,0.0,51626.3824217884
32,Li-Ion,0.0,0.0,-0.0
32,CAES,0.0,0.0,-0.0
32,PHS,20953.042089485316,0.0,222463.39524523888
32,H2,915.6435282164246,0.0,52233.75162675062
33,Li-Ion,-0.0,0.0,-0.0
33,CAES,-0.0,0.0,-0.0
33,PHS,28866.43188349679,0.0,247990.2014640616
33,H2,915.6435282164246,0.0,52841.12083171284
34,Li-Ion,-0.0,0.0,-0.0
34,CAES,-0.0,0.0,-0.0
34,PHS,28866.43188349679,0.0,273517.0076828843
34,H2,915.6435282164246,0.0,53448.49003667506
35,Li-Ion,-0.0,0.0,-0.0
35,CAES,0.0,0.0,-0.0
35,PHS,26436.08849835566,0.0,296894.6426813747
35,H2,915.6435282164246,0.0,54055.85924163728
36,Li-Ion,-0.0,0.0,-0.0
36,CAES,0.0,0.0,-0.0
36,PHS,26537.60321329926,0.0,320362.047917738
36,H2,915.6435282164246,0.0,54663.228446599496
37,Li-Ion,-0.0,0.0,-0.0
37,CAES,-0.0,0.0,-0.0
37,PHS,28866.43188349679,0.0,345888.8541365607
37,H2,-0.0,0.0,54663.228446599496
38,Li-Ion,-0.0,0.0,-0.0
38,CAES,-0.0,0.0,-0.0
38,PHS,28866.43188349679,0.0,371415.6603553834
38,H2,915.6435282164246,0.0,55270.597651561715
39,Li-Ion,-0.0,0.0,-0.0
39,CAES,-0.0,0.0,-0.0
39,PHS,22955.85292603114,0.0,391715.6964525225
39,H2,915.6435282164246,0.0,55877.96685652393
40,Li-Ion,0.0,-0.0,-0.0
40,CAES,0.0,-0.0,-0.0
40,PHS,0.0,672.952087837243,390954.7032660702
40,H2,0.0,461.5594912743704,55182.139742440115
41,Li-Ion,0.0,-0.0,-0.0
41,CAES,0.0,-0.0,-0.0
41,PHS,0.0,13194.39367057788,376034.1110513289
41,H2,0.0,461.5594912743704,54486.312628356296
42,Li-Ion,0.0,-0.0,-0.0
42,CAES,0.0,0.0,-0.0
42,PHS,0.0,16672.65874888777,357180.19865955174
42,H2,0.0,461.5594912743704,53790.48551427248
43,Li-Ion,0.0,-0.0,-0.0
43,CAES,0.0,0.0,-0.0
43,PHS,0.0,17966.120354919047,336863.60343058954
43,H2,0.0,461.5594912743704,53094.65840018866
44,Li-Ion,0.0,0.0,-0.0
44,CAES,0.0,0.0,-0.0
44,PHS,0.0,17379.067974067024,317210.8635785454
44,H2,0.0,461.5594912743704,52398.83128610484
45,Li-Ion,0.0,0.0,-0.0
45,CAES,0.0,0.0,-0.0
45,PHS,0.0,18018.9636079098,296834.5117098421
45,H2,0.0,461.5594912743704,51703.00417202102
