Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
GenMix_Target=0.5,1,0.0,0.0,13914.310481735081,0.0,4897.0,2350.85995,2272.82328,1789.27366,0,-1703.321448264922,0,26927.58882,6600.321448264919
GenMix_Target=0.5,2,0.0,0.0,13613.049557378909,0.0,4897.0,2359.65165,2273.72072,1778.90751,0,-1086.0133426210896,0,26008.34278,5983.0133426210905
GenMix_Target=0.5,3,0.0,0.0,13904.732410074354,0.0,4897.0,2063.74177,2274.35167,1775.3033,0,-377.5604699256478,0,25292.68962,5274.560469925647
GenMix_Target=0.5,4,0.0,0.0,13967.49737768715,0.0,4897.0,1929.00365,2274.18453,1772.69607,0,-55.39045231284962,0,24895.77208,4952.3904523128485
GenMix_Target=0.5,5,0.0,0.0,13778.450357095197,0.0,4897.0,1978.7031,2273.92119,1776.05623,0,-229.16390290480547,0,24933.29478,5126.163902904804
GenMix_Target=0.5,6,0.0,0.0,13644.009507273544,0.0,4897.0,2274.47982,2274.6642,1774.67763,0,-633.8950327264599,0,25498.72619,5530.895032726457
GenMix_Target=0.5,7,5151.827928350271,0.0,13626.537540523914,0.0,4897.0,2541.02594,2274.96771,1777.01514,0,3843.960278874185,0,26424.41398,1053.0397211258169
GenMix_Target=0.5,8,30165.66532118128,0.0,13854.492255282297,0.0,4897.0,2377.80212,2274.36005,1772.26723,0,28935.066116463582,0,26406.52086,-24038.06611646358
GenMix_Target=0.5,9,34593.66608498467,7205.120620530877,13402.81301561978,0.0,0.0,1850.3501,2273.97646,1765.77912,0,28224.046600604448,0,25662.53818,-35429.16722113532
GenMix_Target=0.5,10,35990.536594267156,4198.376216172073,12771.397761998569,0.0,0.0,1856.33584,2273.79651,1728.63502,0,29711.801116265724,0,24908.90061,-33910.1773324378
GenMix_Target=0.5,11,34655.41847431961,2544.261329688801,13533.861281946116,0.0,0.0,1690.7218,2273.82441,1729.4593,0,29711.801116265724,0,24171.48415,-32256.062445954525
GenMix_Target=0.5,12,33448.37764657469,3102.478908027966,14118.531359691031,0.0,0.0,1591.59286,2273.3104,1717.51558,0,29711.801116265724,0,23437.52673,-32814.28002429369
GenMix_Target=0.5,13,32825.800239926844,6048.323086366487,14297.66161633888,0.0,0.0,1502.94835,2273.2278,1725.88248,0,29711.801116265724,0,22913.71937,-35760.124202632214
GenMix_Target=0.5,14,32709.871575884325,8660.874593733963,14430.099110381401,0.0,0.0,1568.58219,2272.73277,1728.15225,0,29711.801116265724,0,22997.63678,-38372.67570999969
GenMix_Target=0.5,15,33825.28688279129,1989.8645385217897,13958.676843474428,0.0,0.0,1691.31252,2273.15628,1732.26885,0,29711.801116265724,0,23768.90026,-31701.66565478751
GenMix_Target=0.5,16,12004.398840402286,0.0,14269.625662097355,0.0,4897.0,2100.98322,2272.64222,1788.5111,0,12111.091172499642,0,25222.06987,-7214.091172499641
GenMix_Target=0.5,17,0.0,0.0,14705.297921507401,0.0,4897.0,2797.40289,2272.26654,1865.41948,0,-1593.2947884925961,0,28130.68162,6490.294788492598
GenMix_Target=0.5,18,0.0,0.0,14816.495161345401,0.0,4897.0,3241.56259,2272.95466,1964.17257,0,-4995.520458654601,0,32187.70544,9892.5204586546
GenMix_Target=0.5,19,0.0,0.0,14912.579952907896,0.0,4897.0,3443.81907,2273.316,1970.43835,0,-5529.945457092106,0,33027.09883,10426.945457092108
GenMix_Target=0.5,20,0.0,0.0,14903.032546107126,0.0,4897.0,3278.70458,2272.44109,1967.35514,0,-5487.565623892874,0,32806.09898,10384.565623892877
GenMix_Target=0.5,21,0.0,0.0,15033.194865796402,0.0,4897.0,2893.49016,2272.43881,1887.29345,0,-5327.124404203594,0,32310.54169,10224.124404203596
GenMix_Target=0.5,22,0.0,0.0,14774.261404475712,0.0,4897.0,2554.17395,2272.75623,1847.9486,0,-4795.1346655242905,0,31141.27485,9692.13466552429
GenMix_Target=0.5,23,0.0,0.0,14367.452140903857,0.0,4897.0,2272.69783,2273.49363,1801.85677,0,-3630.3859190961407,0,29242.88629,8527.385919096141
GenMix_Target=0.5,24,0.0,0.0,14187.256068931403,0.0,4897.0,2125.45029,2274.43377,1781.79636,0,-2086.2043710685957,0,27352.14086,6983.204371068596
GenMix_Target=0.5,25,0.0,0.0,13633.723502059254,0.0,4897.0,1976.73049,2272.10748,1779.85401,0,-1570.499947940751,0,26129.91543,6467.499947940747
GenMix_Target=0.5,26,0.0,0.0,12966.568007881422,0.0,4897.0,1916.08734,2271.68539,1775.86374,0,-1442.7244121185768,0,25269.92889,6339.724412118577
GenMix_Target=0.5,27,0.0,0.0,12600.214563653384,0.0,4897.0,1767.92297,2272.17995,1779.45385,0,-1547.930366346614,0,24864.7017,6444.930366346617
GenMix_Target=0.5,28,0.0,0.0,12487.955736798405,0.0,4897.0,1813.7194,2271.74,1778.60586,0,-1752.8349732015963,0,25001.85597,6649.834973201596
GenMix_Target=0.5,29,0.0,0.0,12227.140653961398,0.0,4897.0,1853.20168,2271.91046,1777.53263,0,-2913.428736038603,0,25940.21416,7810.4287360386015
GenMix_Target=0.5,30,0.0,0.0,11993.33654213304,0.0,4897.0,2374.9343,2271.79811,1813.03012,0,-4553.32289786696,0,27903.42197,9450.32289786696
GenMix_Target=0.5,31,5182.44202051299,0.0,11768.426632121922,0.0,4897.0,3071.83127,2271.83689,1823.61862,0,-1495.6044873650915,0,30510.75992,6392.604487365088
GenMix_Target=0.5,32,30145.419964643155,0.0,11545.920289405356,0.0,4897.0,3060.75883,2271.82665,1817.28301,0,21958.845994048508,0,31779.36275,-17061.84599404851
GenMix_Target=0.5,33,40851.91947320491,0.0,10707.053494936032,0.0,3095.48239812479,2379.734,2272.13217,1807.16665,0,29711.801116265724,0,31401.68707,-26616.318718140938
