Metric,Technology,Run,Optimal Value,Unit
Total cost,,1,7885136301.466069,$US
Capacity,Thermal,1,4897.0,MW
Capacity,Solar PV,1,10524.902059549411,MW
Capacity,Wind,1,42723.61470496616,MW
Capacity,All,1,58145.516764515574,MW
Charge power capacity,Li-Ion,1,1535.5021767512567,MW
Charge power capacity,CAES,1,4623.778724755924,MW
Charge power capacity,PHS,1,0.0,MW
Charge power capacity,H2,1,3767.2439977911763,MW
Charge power capacity,All,1,9926.524899298356,MW
Discharge power capacity,Li-Ion,1,1535.5021767512567,MW
Discharge power capacity,CAES,1,9399.13879642043,MW
Discharge power capacity,PHS,1,-0.0,MW
Discharge power capacity,H2,1,7166.760731866912,MW
Discharge power capacity,All,1,18101.4017050386,MW
Average power capacity,Li-Ion,1,1535.5021767512567,MW
Average power capacity,CAES,1,7011.458760588177,MW
Average power capacity,PHS,1,0.0,MW
Average power capacity,H2,1,5467.002364829044,MW
Average power capacity,All,1,14013.963302168479,MW
Energy capacity,Li-Ion,1,4724.917270811835,MWh
Energy capacity,CAES,1,201924.87412386033,MWh
Energy capacity,PHS,1,-0.0,MWh
Energy capacity,H2,1,604637.6896025656,MWh
Energy capacity,All,1,811287.4809972377,MWh
Duration,Li-Ion,1,2.8535993537302455,h
Duration,CAES,1,17.08067223109041,h
Duration,PHS,1,-0.0,h
Duration,H2,1,55.962698506238404,h
Total generation,Thermal,1,1117714.8210382166,MWh
Total generation,Solar PV,1,1187129.4843073166,MWh
Total generation,Wind,1,15603363.011619406,MWh
Total generation,Other renewables,1,1310773.36715,MWh
Total generation,Hydro,1,1461324.46759,MWh
Total generation,Nuclear,1,1673991.26906,MWh
Total generation,Li-Ion,1,178207.81443893895,MWh
Total generation,CAES,1,800434.1380171714,MWh
Total generation,PHS,1,0.0,MWh
Total generation,H2,1,474752.79190281476,MWh
Total generation,All,1,23807691.165123865,MWh
Total Imports/Exports,Imports,1,0.0,MWh
Total Imports/Exports,Exports,1,0.0,MWh
Storage energy discharging,Li-Ion,1,178207.81443893895,MWh
Storage energy discharging,CAES,1,800434.1380171714,MWh
Storage energy discharging,PHS,1,0.0,MWh
Storage energy discharging,H2,1,474752.79190281476,MWh
Storage energy discharging,All,1,1453394.7443589251,MWh
Total demand,demand,1,21255239.90889,MWh
Storage energy charging,Li-Ion,1,207218.38888248714,MWh
Storage energy charging,CAES,1,1266249.2493904291,MWh
Storage energy charging,PHS,1,0.0,MWh
Storage energy charging,H2,1,1078983.6179609478,MWh
Storage energy charging,All,1,2552451.256233864,MWh
CAPEX,Solar PV,1,553905207.9814353,$US
CAPEX,Wind,1,3474002341.6232495,$US
CAPEX,Thermal,1,0.0,$US
CAPEX,All,1,4027907549.604685,$US
Power-CAPEX,Li-Ion,1,16959988.681013912,$US
Power-CAPEX,CAES,1,480372131.89691776,$US
Power-CAPEX,PHS,1,0.0,$US
Power-CAPEX,H2,1,718813850.3541665,$US
Power-CAPEX,All,1,1216145970.9320982,$US
Energy-CAPEX,Li-Ion,1,61736219.745149374,$US
Energy-CAPEX,CAES,1,508449109.1905403,$US
Energy-CAPEX,PHS,1,-0.0,$US
Energy-CAPEX,H2,1,60868047.376535125,$US
Energy-CAPEX,All,1,631053376.3122249,$US
Total-CAPEX,Li-Ion,1,78696208.42616329,$US
Total-CAPEX,CAES,1,988821241.0874581,$US
Total-CAPEX,PHS,1,0.0,$US
Total-CAPEX,H2,1,779681897.7307017,$US
Total-CAPEX,All,1,1847199347.244323,$US
FOM,Thermal,1,0.0,$US
FOM,Solar PV,1,87336479.28230578,$US
FOM,Wind,1,1457160227.949428,$US
FOM,Li-Ion,1,15815672.420537943,$US
FOM,CAES,1,32335894.650970053,$US
FOM,PHS,1,0.0,$US
FOM,H2,1,260682701.3138209,$US
FOM,All,1,1853330975.6170626,$US
VOM,Thermal,1,8382861.1577866245,$US
VOM,Li-Ion,1,550662.1466163213,$US
VOM,CAES,1,3298364.961210119,$US
VOM,PHS,1,0.0,$US
VOM,H2,1,0.0,$US
VOM,All,1,12231888.265613064,$US
Fuel-Cost,Thermal,1,144466540.73438525,$US
OPEX,Thermal,1,8382861.1577866245,$US
OPEX,Solar PV,1,87336479.28230578,$US
OPEX,Wind,1,1457160227.949428,$US
OPEX,Li-Ion,1,16366334.567154264,$US
OPEX,CAES,1,35634259.61218017,$US
OPEX,PHS,1,0.0,$US
OPEX,H2,1,260682701.3138209,$US
OPEX,All,1,1865562863.8826756,$US
Cost,Imports Cost,1,0.0,$US
Revenue,Exports Revenue,1,0.0,$US
Equivalent number of cycles,Li-Ion,1,37.71659993706499,-
Equivalent number of cycles,CAES,1,3.964019497301688,-
Equivalent number of cycles,PHS,1,0.0,-
Equivalent number of cycles,H2,1,0.785185574876873,-
Total VRE curtailment,Solar PV,1,127843.42481770109,MWh
Total VRE curtailment,Wind,1,758183.6511314823,MWh
Total VRE curtailment,All,1,886027.0759491834,MWh
VRE curtailment percentage,All,1,5.012452096955163,%
