Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,-0.0,-0.0
1,CAES,0.0,616.8026647032767,3103.151876980678
1,PHS,0.0,2745.4938583023213,74455.22312740181
1,H2,0.0,0.0,47942.17540153199
2,Li-Ion,0.0,-0.0,-0.0
2,CAES,0.0,616.8026647032767,2327.3639077355087
2,PHS,0.0,2123.343255393441,72054.08673291227
2,H2,0.0,0.0,47942.17540153199
3,Li-Ion,0.0,-0.0,0.0
3,CAES,0.0,616.8026647032767,1551.5759384903395
3,PHS,0.0,1273.0239581525925,70614.51536393409
3,H2,0.0,0.0,47942.17540153199
4,Li-Ion,0.0,-0.0,-0.0
4,CAES,0.0,616.8026647032767,775.7879692451703
4,PHS,0.0,930.6104203590497,69562.15487358968
4,H2,0.0,0.0,47942.17540153199
5,Li-Ion,0.0,-0.0,-0.0
5,CAES,0.0,483.6057762831754,167.52934040406
5,PHS,0.0,1301.6462345519692,68090.2166278095
5,H2,0.0,0.0,47942.17540153199
6,Li-Ion,0.0,-0.0,-0.0
6,CAES,0.0,0.0,167.52934040406
6,PHS,0.0,2170.156271417054,65636.1427554889
6,H2,0.0,0.0,47942.17540153199
7,Li-Ion,-0.0,0.0,0.0
7,CAES,0.0,0.0,167.52934040406
7,PHS,1648.8085721196385,0.0,67094.1967706959
7,H2,1657.5524490269015,0.0,49041.671310283375
8,Li-Ion,0.0,-0.0,0.0
8,CAES,0.0,0.0,167.52934040406
8,PHS,31508.818203602706,0.0,94957.68539698908
8,H2,1657.5524490269015,0.0,50141.16721903476
9,Li-Ion,-0.0,0.0,0.0
9,CAES,1363.8310742168014,0.0,1251.8651049822934
9,PHS,33309.20544806518,0.0,124413.27021631776
9,H2,1657.5524490269015,0.0,51240.663127786145
10,Li-Ion,-0.0,0.0,0.0
10,CAES,1363.8310742168014,0.0,2336.2008695605264
10,PHS,33309.20544806518,0.0,153868.85503564644
10,H2,1657.5524490269015,0.0,52340.15903653753
11,Li-Ion,0.0,0.0,-0.0
11,CAES,1363.8310742168014,0.0,3420.53663413876
11,PHS,33309.20544806518,0.0,183324.43985497512
11,H2,1657.5524490269015,0.0,53439.654945288916
12,Li-Ion,-0.0,0.0,-0.0
12,CAES,1363.8310742168014,0.0,4504.872398716993
12,PHS,33309.20544806518,0.0,212780.0246743038
12,H2,1657.5524490269015,0.0,54539.1508540403
13,Li-Ion,-0.0,0.0,-0.0
13,CAES,1363.8310742168014,0.0,5589.208163295227
13,PHS,33309.20544806518,0.0,242235.60949363248
13,H2,1657.5524490269015,0.0,55638.646762791686
14,Li-Ion,-0.0,0.0,-0.0
14,CAES,1363.8310742168014,0.0,6673.54392787346
14,PHS,33309.20544806518,0.0,271691.1943129612
14,H2,1657.5524490269015,0.0,56738.14267154307
15,Li-Ion,-0.0,0.0,-0.0
15,CAES,1363.8310742168014,0.0,7757.879692451693
