Hour,83_GAS,83_Coal
1,4897.0,0.0
2,4897.0,0.0
3,4897.0,0.0
4,4897.0,0.0
5,4897.0,0.0
6,4897.0,0.0
7,4897.0,0.0
8,4897.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,4897.0,0.0
17,4897.0,0.0
18,4897.0,0.0
19,4897.0,0.0
20,4897.0,0.0
21,4897.0,0.0
22,4897.0,0.0
23,4897.0,0.0
24,4897.0,0.0
25,4897.0,0.0
26,4897.0,0.0
27,4897.0,0.0
28,4897.0,0.0
29,4897.0,0.0
30,4897.0,0.0
31,4897.0,0.0
32,4897.0,0.0
33,2435.7114381032006,0.0
34,2539.1879789777668,0.0
35,4897.0,0.0
36,4897.0,0.0
37,4897.0,0.0
38,2792.507061453405,0.0
39,4897.0,0.0
40,4897.0,0.0
41,4897.0,0.0
42,4897.0,0.0
43,4897.0,0.0
44,4897.0,0.0
45,4897.0,0.0
46,4897.0,0.0
47,4897.0,0.0
48,4897.0,0.0
49,4897.0,0.0
50,4897.0,0.0
51,4897.0,0.0
52,4897.0,0.0
53,4897.0,0.0
54,4897.0,0.0
55,4897.0,0.0
56,4897.0,0.0
57,4897.0,0.0
58,4897.0,0.0
59,4897.0,0.0
60,4897.0,0.0
61,4897.0,0.0
62,4897.0,0.0
63,4897.0,0.0
64,4897.0,0.0
65,4897.0,0.0
66,4897.0,0.0
67,4897.0,0.0
68,4897.0,0.0
69,4897.0,0.0
70,4897.0,0.0
71,4897.0,0.0
72,4897.0,0.0
73,4897.0,0.0
74,4897.0,0.0
75,4897.0,0.0
76,4897.0,0.0
77,4897.0,0.0
78,4897.0,0.0
79,4897.0,0.0
80,4897.0,0.0
81,4897.0,0.0
82,4897.0,0.0
83,4897.0,0.0
84,4897.0,0.0
85,4897.0,0.0
86,4897.0,0.0
87,4897.0,0.0
88,4897.0,0.0
89,4897.0,0.0
90,4897.0,0.0
91,4897.0,0.0
92,4897.0,0.0
93,4897.0,0.0
94,4897.0,0.0
95,4897.0,0.0
96,4897.0,0.0
97,4897.0,0.0
98,4897.0,0.0
99,4897.0,0.0
100,4897.0,0.0
101,4897.0,0.0
102,4897.0,0.0
103,4897.0,0.0
104,4897.0,0.0
105,4897.0,0.0
106,4897.0,0.0
107,4897.0,0.0
108,4897.0,0.0
109,4897.0,0.0
110,3786.2104815831703,0.0
111,4897.0,0.0
112,4897.0,0.0
113,4897.0,0.0
114,4897.0,0.0
115,4897.0,0.0
116,4897.0,0.0
117,4897.0,0.0
118,4897.0,0.0
119,4897.0,0.0
120,4897.0,0.0
121,4897.0,0.0
122,4897.0,0.0
123,4897.0,0.0
124,4897.0,0.0
125,4897.0,0.0
126,4897.0,0.0
127,4897.0,0.0
128,4897.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,974.9178513890001,0.0
133,0.0,0.0
134,0.0,0.0
135,3205.5823842544487,0.0
136,4897.0,0.0
137,4897.0,0.0
138,4897.0,0.0
139,4897.0,0.0
140,4897.0,0.0
141,4897.0,0.0
142,4897.0,0.0
143,4897.0,0.0
144,4897.0,0.0
145,4897.0,0.0
146,4897.0,0.0
147,4897.0,0.0
148,4897.0,0.0
149,4897.0,0.0
150,4897.0,0.0
151,4897.0,0.0
152,4897.0,0.0
153,0.0,0.0
154,786.3372244732527,0.0
155,2708.892918113197,0.0
156,2533.2306441674154,0.0
157,1057.3202910440596,0.0
158,2088.0358917150224,0.0
159,4897.0,0.0
160,4897.0,0.0
161,4897.0,0.0
162,4897.0,0.0
163,4897.0,0.0
164,4897.0,0.0
165,4897.0,0.0
166,4897.0,0.0
167,4897.0,0.0
168,4897.0,0.0
169,4897.0,0.0
170,4897.0,0.0
171,4897.0,0.0
172,4897.0,0.0
173,4897.0,0.0
174,4897.0,0.0
175,4897.0,0.0
176,4897.0,0.0
177,4897.0,0.0
178,4897.0,0.0
179,4897.0,0.0
180,4897.0,0.0
181,4897.0,0.0
182,4897.0,0.0
183,4897.0,0.0
184,4897.0,0.0
185,4897.0,0.0
186,4897.0,0.0
187,4897.0,0.0
188,4897.0,0.0
189,4897.0,0.0
190,4897.0,0.0
191,4897.0,0.0
192,4897.0,0.0
193,4897.0,0.0
194,4897.0,0.0
195,4897.0,0.0
196,4897.0,0.0
197,4897.0,0.0
198,4897.0,0.0
199,4897.0,0.0
200,4897.0,0.0
201,4855.480272595352,0.0
202,4897.0,0.0
203,4897.0,0.0
204,4897.0,0.0
205,4897.0,0.0
206,4897.0,0.0
207,4897.0,0.0
208,4897.0,0.0
209,4897.0,0.0
210,4897.0,0.0
211,4897.0,0.0
212,4897.0,0.0
213,4897.0,0.0
214,4897.0,0.0
215,4897.0,0.0
216,4897.0,0.0
217,4897.0,0.0
218,4897.0,0.0
219,4897.0,0.0
220,4897.0,0.0
221,4897.0,0.0
222,4897.0,0.0
223,4897.0,0.0
224,4897.0,0.0
225,4897.0,0.0
226,4897.0,0.0
227,4897.0,0.0
228,4897.0,0.0
229,4897.0,0.0
230,4897.0,0.0
231,4897.0,0.0
232,4897.0,0.0
233,4897.0,0.0
234,4897.0,0.0
235,4897.0,0.0
236,4897.0,0.0
237,4897.0,0.0
238,4897.0,0.0
239,4897.0,0.0
240,4897.0,0.0
241,4897.0,0.0
242,4897.0,0.0
243,4897.0,0.0
244,4897.0,0.0
245,4897.0,0.0
246,4897.0,0.0
247,4897.0,0.0
248,4897.0,0.0
249,4897.0,0.0
250,4897.0,0.0
251,4897.0,0.0
252,4897.0,0.0
253,4897.0,0.0
254,4897.0,0.0
255,4897.0,0.0
256,4897.0,0.0
257,4897.0,0.0
258,4897.0,0.0
259,4897.0,0.0
260,4897.0,0.0
261,4897.0,0.0
262,4897.0,0.0
263,4897.0,0.0
264,4897.0,0.0
265,4897.0,0.0
266,4897.0,0.0
267,4897.0,0.0
268,4897.0,0.0
269,4897.0,0.0
270,4897.0,0.0
271,4897.0,0.0
272,4897.0,0.0
273,0.0,0.0
274,0.0,0.0
275,1339.545785667855,0.0
276,1209.3036504012343,0.0
277,0.0,0.0
278,0.0,0.0
279,0.0,0.0
280,4897.0,0.0
281,4897.0,0.0
282,4897.0,0.0
283,4897.0,0.0
284,4897.0,0.0
285,4897.0,0.0
286,4897.0,0.0
287,4897.0,0.0
288,4897.0,0.0
289,4897.0,0.0
290,4897.0,0.0
291,4897.0,0.0
292,4897.0,0.0
293,4897.0,0.0
294,4897.0,0.0
295,4897.0,0.0
296,3455.5514616733417,0.0
297,0.0,0.0
298,0.0,0.0
299,0.0,0.0
300,0.0,0.0
301,0.0,0.0
302,0.0,0.0
303,0.0,0.0
304,4897.0,0.0
305,4897.0,0.0
306,4897.0,0.0
307,4897.0,0.0
308,4897.0,0.0
309,4897.0,0.0
310,4897.0,0.0
311,4897.0,0.0
312,4897.0,0.0
313,4897.0,0.0
314,4897.0,0.0
315,4897.0,0.0
316,4897.0,0.0
317,4897.0,0.0
318,4897.0,0.0
319,4897.0,0.0
320,4897.0,0.0
321,4897.0,0.0
322,4897.0,0.0
323,4897.0,0.0
324,4897.0,0.0
325,4897.0,0.0
326,4897.0,0.0
327,4897.0,0.0
328,4897.0,0.0
