case_name,GenMix_Target,P_Capex,load_data,solver_status,termination_condition,total_cost
GenMix_Target=0.0_P_Capexx0.8_load_datax0.9,0.0,0.8,0.9,ok,optimal,8510590160.769237
GenMix_Target=0.0_P_Capexx0.8_load_datax1.0,0.0,0.8,1.0,ok,optimal,10329645763.085873
GenMix_Target=0.0_P_Capexx0.8_load_datax1.1,0.0,0.8,1.1,ok,optimal,12234172588.585949
GenMix_Target=0.0_P_Capexx1.0_load_datax0.9,0.0,1.0,0.9,ok,optimal,8842121611.923393
GenMix_Target=0.0_P_Capexx1.0_load_datax1.0,0.0,1.0,1.0,ok,optimal,10724631373.177166
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,0.0,1.0,1.1,ok,optimal,12725018756.853228
GenMix_Target=0.0_P_Capexx1.2_load_datax0.9,0.0,1.2,0.9,ok,optimal,9171451357.2519
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,0.0,1.2,1.0,ok,optimal,11118748443.553673
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,0.0,1.2,1.1,ok,optimal,13192533342.48722
GenMix_Target=1.0_P_Capexx0.8_load_datax0.9,1.0,0.8,0.9,ok,optimal,11361015214.439024
GenMix_Target=1.0_P_Capexx0.8_load_datax1.0,1.0,0.8,1.0,ok,optimal,13335855621.954391
GenMix_Target=1.0_P_Capexx0.8_load_datax1.1,1.0,0.8,1.1,ok,optimal,16249719580.179426
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,1.0,1.0,0.9,ok,optimal,11805644011.984373
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,1.0,1.0,1.0,ok,optimal,13873924225.91735
GenMix_Target=1.0_P_Capexx1.0_load_datax1.1,1.0,1.0,1.1,ok,optimal,16966029256.587042
GenMix_Target=1.0_P_Capexx1.2_load_datax0.9,1.0,1.2,0.9,ok,optimal,12259410963.789356
GenMix_Target=1.0_P_Capexx1.2_load_datax1.0,1.0,1.2,1.0,ok,optimal,14408932069.459953
GenMix_Target=1.0_P_Capexx1.2_load_datax1.1,1.0,1.2,1.1,ok,optimal,17607480418.271626
