case_name,scalars.GenMix_Target,storage_data.P_Capex_factor,load_data_factor,is_optimal,total_cost,solver_status,termination_condition
GenMix_Target=0.0_P_Capexx0.8_load_datax0.9,0.0,0.8,0.9,True,8510590160.769237,ok,optimal
GenMix_Target=0.0_P_Capexx0.8_load_datax1.0,0.0,0.8,1.0,True,10329645763.085873,ok,optimal
GenMix_Target=0.0_P_Capexx0.8_load_datax1.1,0.0,0.8,1.1,True,12234172588.585949,ok,optimal
GenMix_Target=0.0_P_Capexx1.0_load_datax0.9,0.0,1.0,0.9,True,8842121611.923393,ok,optimal
GenMix_Target=0.0_P_Capexx1.0_load_datax1.0,0.0,1.0,1.0,True,10724631373.177166,ok,optimal
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,0.0,1.0,1.1,True,12725018756.853228,ok,optimal
GenMix_Target=0.0_P_Capexx1.2_load_datax0.9,0.0,1.2,0.9,True,9171451357.2519,ok,optimal
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,0.0,1.2,1.0,True,11118748443.553673,ok,optimal
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,0.0,1.2,1.1,True,13192533342.48722,ok,optimal
GenMix_Target=1.0_P_Capexx0.8_load_datax0.9,1.0,0.8,0.9,True,11361015214.439024,ok,optimal
GenMix_Target=1.0_P_Capexx0.8_load_datax1.0,1.0,0.8,1.0,True,13335855621.954391,ok,optimal
GenMix_Target=1.0_P_Capexx0.8_load_datax1.1,1.0,0.8,1.1,True,16249719580.179426,ok,optimal
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,1.0,1.0,0.9,True,11805644011.984373,ok,optimal
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,1.0,1.0,1.0,True,13873924225.91735,ok,optimal
GenMix_Target=1.0_P_Capexx1.0_load_datax1.1,1.0,1.0,1.1,True,16966029256.587042,ok,optimal
GenMix_Target=1.0_P_Capexx1.2_load_datax0.9,1.0,1.2,0.9,True,12259410963.789356,ok,optimal
GenMix_Target=1.0_P_Capexx1.2_load_datax1.0,1.0,1.2,1.0,True,14408932069.459953,ok,optimal
GenMix_Target=1.0_P_Capexx1.2_load_datax1.1,1.0,1.2,1.1,True,17607480418.271626,ok,optimal
